City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Srandakan,ID,2021-11-30 05:23:08,-7.9386,110.2506,83.89,68,100,8.41
183,Glendive,US,2021-11-30 05:23:08,47.1053,-104.7125,35.22,86,1,5.75
184,Shache,CN,2021-11-30 05:23:08,38.4167,77.2406,34.83,30,36,2.06
185,Sao Felix Do Xingu,BR,2021-11-30 05:23:08,-6.6447,-51.995,71.8,99,100,1.41
186,Sturgis,US,2021-11-30 05:24:09,41.7992,-85.4192,39.31,39,90,9.22
187,Saint-Francois,FR,2021-11-30 05:23:05,46.4154,3.9054,31.44,93,75,3.44
188,Urusha,RU,2021-11-30 05:24:09,54.05,122.9,7.34,62,91,2.08
189,Puerto Del Rosario,ES,2021-11-30 05:24:09,28.5004,-13.8627,65.95,68,0,17.27
190,Saint-Prosper,CA,2021-11-30 05:24:09,46.2117,-70.4811,17.69,98,89,2.44
191,Tasiilaq,GL,2021-11-30 05:24:10,65.6145,-37.6368,6.55,92,87,5.57
192,Sitka,US,2021-11-30 05:24:07,57.0531,-135.33,37.29,87,90,9.22
193,Sept-Iles,CA,2021-11-30 05:20:21,50.2001,-66.3821,27.12,64,75,5.01
194,Miri,MY,2021-11-30 05:24:10,4.4148,114.0089,87.94,66,40,5.75
195,Kavaratti,IN,2021-11-30 05:24:10,10.5669,72.642,79.81,81,100,17.96
196,Broken Hill,AU,2021-11-30 05:24:10,-31.95,141.4333,89.31,27,14,5.75
197,Stepantsevo,RU,2021-11-30 05:24:11,56.1314,41.7032,48.56,87,100,17.98
198,Beya,RU,2021-11-30 05:24:11,53.0533,90.9139,29.64,69,95,4.29
199,Gravdal,NO,2021-11-30 05:24:11,68.1214,13.5031,28.29,64,40,11.5
200,Sobolevo,RU,2021-11-30 05:24:11,54.4299,31.8996,29.82,89,100,22.3
201,Inhambane,MZ,2021-11-30 05:24:12,-23.865,35.3833,78.78,65,75,9.22
202,Bitung,ID,2021-11-30 05:24:12,1.4451,125.1824,81.45,86,100,4.54
203,Muzhi,RU,2021-11-30 05:24:12,65.3667,64.6667,-2.4,88,27,6.73
204,Barrow,US,2021-11-30 05:24:12,71.2906,-156.7887,-18.38,69,40,6.91
205,Maniitsoq,GL,2021-11-30 05:24:13,65.4167,-52.9,32.36,97,100,17.63
206,Yumen,CN,2021-11-30 05:24:13,40.2833,97.2,25.65,49,45,17.2
207,Kanniyakumari,IN,2021-11-30 05:24:13,8.0833,77.5667,81.61,77,100,15.55
208,Durango,MX,2021-11-30 05:21:06,24.8333,-104.8333,53.35,61,88,1.25
209,Lebu,CL,2021-11-30 05:21:30,-37.6167,-73.65,52.74,89,55,15.57
210,Salina,US,2021-11-30 05:20:38,38.8403,-97.6114,42.93,65,1,0.0
211,Tiksi,RU,2021-11-30 05:22:53,71.6872,128.8694,-20.56,99,98,5.91
212,Siguiri,GN,2021-11-30 05:24:14,11.6667,-9.5,69.93,24,68,3.18
213,Lesozavodsk,RU,2021-11-30 05:24:14,45.4794,133.4244,19.62,94,100,13.4
214,Awjilah,LY,2021-11-30 05:24:15,29.1081,21.2869,56.3,29,9,9.62
215,Mahebourg,MU,2021-11-30 05:24:15,-20.4081,57.7,83.25,61,40,8.05
216,Myitkyina,MM,2021-11-30 05:24:16,25.3833,97.4,79.12,35,6,2.37
217,Zhigansk,RU,2021-11-30 05:24:16,66.7697,123.3711,-16.37,98,100,1.59
218,Kharp,RU,2021-11-30 05:24:16,66.8014,65.8081,-8.37,90,48,8.93
219,Chicama,PE,2021-11-30 05:24:16,-7.8447,-79.1469,66.13,84,99,4.45
220,Moyale,KE,2021-11-30 05:24:17,3.5167,39.0584,70.14,73,81,9.42
221,Iqaluit,CA,2021-11-30 05:21:02,63.7506,-68.5145,11.93,78,90,8.99
222,Ypsonas,CY,2021-11-30 05:24:17,34.6884,32.9574,71.49,77,0,11.5
223,Nikolskoye,RU,2021-11-30 05:24:17,59.7035,30.7861,27.39,97,100,7.67
224,Sorland,NO,2021-11-30 05:24:17,67.667,12.6934,28.47,86,100,14.83
225,Krasnogorsk,RU,2021-11-30 05:20:13,55.8225,37.3181,43.97,87,75,31.32
226,Springfield,US,2021-11-30 05:23:31,37.2153,-93.2982,53.98,64,1,5.99
227,Dunedin,NZ,2021-11-30 05:24:18,-45.8742,170.5036,56.73,78,98,6.85
228,Kulhudhuffushi,MV,2021-11-30 05:24:18,6.6221,73.07,80.8,79,81,8.7
229,Saryozek,KZ,2021-11-30 05:24:18,44.3583,77.9753,40.41,32,0,4.41
230,Guerrero Negro,MX,2021-11-30 05:24:15,27.9769,-114.0611,63.9,80,0,9.22
231,Sovetskiy,RU,2021-11-30 05:25:19,61.3614,63.5842,13.89,91,99,2.8
232,Shakawe,BW,2021-11-30 05:25:19,-18.3667,21.85,73.72,59,82,3.56
233,Bubaque,GW,2021-11-30 05:25:19,11.2833,-15.8333,82.36,61,63,2.26
234,Fort Wellington,GY,2021-11-30 05:25:19,6.4,-57.6,77.54,86,56,5.48
235,Tisul,RU,2021-11-30 05:25:20,55.7611,88.3122,27.57,61,99,16.17
236,Thompson,CA,2021-11-30 05:25:20,55.7435,-97.8558,14.16,79,90,21.85
237,Uige,AO,2021-11-30 05:25:20,-7.6087,15.0613,65.98,97,100,1.9
238,Belousovka,KZ,2021-11-30 05:25:20,50.1339,82.5239,13.05,85,83,2.24
239,Nelson Bay,AU,2021-11-30 05:25:21,-32.7167,152.15,70.95,86,100,1.99
240,The Pas,CA,2021-11-30 05:25:21,53.8251,-101.2541,23.02,68,1,18.41
241,Zalantun,CN,2021-11-30 05:25:21,48.0,122.7167,21.7,53,7,10.42
242,Sao Joao Da Barra,BR,2021-11-30 05:21:23,-21.6403,-41.0511,74.25,94,59,10.74
243,Chiredzi,ZW,2021-11-30 05:25:21,-21.05,31.6667,77.67,46,66,7.07
244,Katsuura,JP,2021-11-30 05:25:22,35.1333,140.3,68.18,58,99,18.86
245,Nanortalik,GL,2021-11-30 05:25:22,60.1432,-45.2371,33.3,98,100,9.91
246,Anshun,CN,2021-11-30 05:25:22,26.25,105.9333,50.7,47,11,10.11
247,Praia Da Vitoria,PT,2021-11-30 05:25:22,38.7333,-27.0667,56.75,87,75,8.81
248,Norman Wells,CA,2021-11-30 05:25:23,65.282,-126.8329,-36.36,67,20,0.0
249,Kralendijk,BQ,2021-11-30 05:25:23,12.15,-68.2667,82.38,78,72,12.66
250,Point Fortin,TT,2021-11-30 05:25:23,10.1833,-61.6833,77.02,77,79,11.23
251,Shanghai,CN,2021-11-30 05:23:18,31.2222,121.4581,53.92,51,75,4.0
252,Pevek,RU,2021-11-30 05:25:23,69.7008,170.3133,-9.13,99,67,4.0
253,Pacific Grove,US,2021-11-30 05:25:24,36.6177,-121.9166,62.31,94,90,8.99
254,Hokitika,NZ,2021-11-30 05:25:24,-42.7167,170.9667,64.54,55,96,7.14
255,Spokane,US,2021-11-30 05:24:50,47.6166,-117.3677,47.7,89,1,3.0
256,Yulara,AU,2021-11-30 05:25:24,-25.2406,130.9889,96.64,9,0,6.91
257,Honiara,SB,2021-11-30 05:25:25,-9.4333,159.95,85.59,69,70,5.21
258,Souillac,MU,2021-11-30 05:25:25,-20.5167,57.5167,83.35,61,40,8.05
259,Stromness,GB,2021-11-30 05:25:25,58.965,-3.296,39.45,82,100,12.33
260,Vanimo,PG,2021-11-30 05:22:57,-2.6741,141.3028,85.78,68,95,5.08
261,Beroroha,MG,2021-11-30 05:25:25,-21.6667,45.1667,85.82,43,10,3.42
262,Nioro,GM,2021-11-30 05:25:26,13.35,-15.75,72.3,27,97,6.8
263,Marienburg,PL,2021-11-30 05:25:26,54.0359,19.0266,31.95,84,69,8.99
264,Suclayin,PH,2021-11-30 05:25:26,15.7568,121.5503,85.98,67,99,4.59
265,Guaraniacu,BR,2021-11-30 05:25:26,-25.1008,-52.8781,54.03,76,18,3.58
266,Cidreira,BR,2021-11-30 05:25:27,-30.1811,-50.2056,70.21,67,16,14.7
267,Binzhou,CN,2021-11-30 05:20:56,37.3667,118.0167,43.27,37,8,21.54
268,Tahe,CN,2021-11-30 05:25:27,52.3333,124.7333,10.8,67,48,5.66
269,Kajaani,FI,2021-11-30 05:25:27,64.2273,27.7285,15.85,79,90,16.11
270,Muros,ES,2021-11-30 05:25:28,42.7762,-9.0603,51.84,94,100,5.19
271,Iberia,US,2021-11-30 05:25:28,29.9502,-91.7507,48.96,93,1,0.0
272,Berlevag,NO,2021-11-30 05:25:28,70.8578,29.0864,15.8,88,60,27.92
273,Pangkalanbuun,ID,2021-11-30 05:25:28,-2.6833,111.6167,91.74,49,33,4.92
274,Bani Walid,LY,2021-11-30 05:25:29,31.7566,13.9942,51.13,53,60,11.25
275,Coquimbo,CL,2021-11-30 05:21:34,-29.9533,-71.3436,56.93,88,90,4.61
276,Tura,IN,2021-11-30 05:26:29,25.5198,90.2201,76.53,44,73,1.54
277,Aswan,EG,2021-11-30 05:26:29,24.0934,32.907,75.11,28,22,8.57
278,Kachug,RU,2021-11-30 05:26:29,53.9606,105.8817,22.06,81,100,3.09
279,Haines Junction,CA,2021-11-30 05:26:30,60.7522,-137.5108,-7.65,77,100,1.14
280,Roebourne,AU,2021-11-30 05:26:30,-20.7833,117.1333,99.95,28,0,18.99
281,Aldan,RU,2021-11-30 05:26:30,58.6031,125.3894,-1.48,95,100,2.1
282,Basco,PH,2021-11-30 05:26:30,20.4487,121.9702,76.95,81,100,18.77
283,Channel-Port Aux Basques,CA,2021-11-30 05:26:31,47.5702,-59.1367,50.2,97,100,32.1
284,Ust-Tsilma,RU,2021-11-30 05:26:31,65.441,52.1498,-13.27,100,87,2.89
285,Dhidhdhoo,MV,2021-11-30 05:26:31,6.8833,73.1,81.21,77,48,7.07
286,Korla,CN,2021-11-30 05:26:31,41.7597,86.1469,28.0,54,11,6.33
287,Miles City,US,2021-11-30 05:26:32,46.4083,-105.8406,43.77,70,40,5.75
288,Togitsu,JP,2021-11-30 05:26:32,32.8333,129.85,62.58,88,75,11.5
289,Riobamba,EC,2021-11-30 05:26:32,-1.6667,-78.6333,53.37,91,100,1.3
290,Carnarvon,AU,2021-11-30 05:26:32,-24.8667,113.6333,78.87,57,0,18.41
291,Sibolga,ID,2021-11-30 05:26:33,1.7427,98.7792,81.86,74,94,5.32
292,Aksarka,RU,2021-11-30 05:26:33,66.5606,67.7975,-7.11,100,99,4.32
293,Pecos,US,2021-11-30 05:26:33,31.4229,-103.4932,56.3,49,1,4.61
