City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Biaora,IN,73.31,overcast clouds,23.8667,76.9167,SARPANCH MOTEL HOTEL
513,Sao Joao Dos Patos,BR,71.73,broken clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
514,Thinadhoo,MV,82.04,broken clouds,0.5333,72.9333,
515,Makasar,ID,87.85,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
516,Sao Jose Da Coroa Grande,BR,76.66,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
518,Labuhan,ID,85.01,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
521,Pochutla,MX,73.24,clear sky,15.7432,-96.4661,Hotel Posada San Jose
522,Voh,NC,82.27,light rain,-20.9667,164.7,Le gîte du Koniambo
538,Mathathane,BW,84.42,clear sky,-22.2687,28.7495,Selepswe Resort
539,Mackay,AU,84.69,light rain,-21.15,149.2,International Lodge Motel
542,Bandarbeyla,SO,79.92,scattered clouds,9.4942,50.8122,JABIR HOTEL
543,Sur,OM,78.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
545,Garowe,SO,76.41,overcast clouds,8.4054,48.4845,Curubo Hotel
548,Tura,IN,79.02,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
550,Sibolga,ID,84.11,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
553,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
554,Mongoumba,CF,73.76,overcast clouds,3.6415,18.5936,
556,Port Shepstone,ZA,70.34,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
557,Am Timan,TD,77.31,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
558,Kyabe,TD,79.41,scattered clouds,9.4515,18.9449,
560,San Pedro,PH,87.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
563,Linhares,BR,74.28,moderate rain,-19.3911,-40.0722,Hotel Conceição
564,Chipinge,ZW,78.91,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
567,Jaciara,BR,71.8,overcast clouds,-15.9653,-54.9683,Taba Hotel
568,Save,BJ,76.21,broken clouds,8.0425,2.486,Le Cercle du Rail
571,Manjacaze,MZ,84.13,clear sky,-24.7117,33.8828,Hotel Gani
580,Pa Sang,TH,86.85,scattered clouds,18.5262,98.9394,โรงแรม จามจุรี 99
582,Uyo,NG,75.54,broken clouds,5.0333,7.9266,Economy Lodge
583,Kieta,PG,82.74,light rain,-6.2167,155.6333,Uruna Bay Retreat
590,Manga,BF,71.47,scattered clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
592,Aripuana,BR,72.32,light rain,-9.1667,-60.6333,
599,Bonthe,SL,75.97,light rain,7.5264,-12.505,Bonthe Holiday Village
601,Emerald,AU,86.34,scattered clouds,-23.5333,148.1667,The Irish Village
602,Tamorong,PH,84.22,broken clouds,17.3333,120.4333,Coral Gate Beach Resort
604,Manyana,BW,80.62,clear sky,-23.4,21.7167,
605,Kalabo,ZM,79.7,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
606,Nelson Bay,AU,75.96,broken clouds,-32.7167,152.15,Mantra Nelson Bay
608,Kulhudhuffushi,MV,81.28,scattered clouds,6.6221,73.07,Haajy Guest House 1
612,Guayaramerin,BO,72.91,overcast clouds,-10.8368,-65.3614,Hostal Funf
616,Sal Rei,CV,70.36,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
619,Esperantinopolis,BR,74.52,overcast clouds,-4.8667,-44.7083,
621,Victor Harbor,AU,91.18,few clouds,-35.5667,138.6167,McCracken Country Club
623,Tucano,BR,74.07,overcast clouds,-10.9631,-38.7867,Pousada Pé De Arruda
624,San Carlos,VE,71.51,broken clouds,9.6612,-68.5827,Hotel Paternopoli
628,Cockburn Town,TC,79.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
632,Marang,MY,84.11,light rain,5.2056,103.2059,DBarakah Homestay
