City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Mocuba,MZ,-16.8392,36.9856,84.36,59,1,4.65,clear sky
219,Hasaki,JP,35.7333,140.8333,66.6,48,70,12.41,broken clouds
220,Caxito,AO,-8.5785,13.6643,77.65,83,97,2.91,overcast clouds
221,Granada,ES,37.25,-3.25,38.3,44,0,3.98,clear sky
222,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,79,0,8.01,clear sky
223,Phitsanulok,TH,16.9167,100.5,83.48,52,49,2.35,scattered clouds
224,Faanui,PF,-16.4833,-151.75,81.91,74,100,20.8,overcast clouds
225,Ust-Uda,RU,54.1742,103.0304,31.57,65,100,17.96,overcast clouds
226,Turukhansk,RU,65.8167,87.9833,-24.75,100,59,5.26,broken clouds
227,Vardo,NO,70.3705,31.1107,32.2,55,100,34.99,overcast clouds
228,Coahuayana,MX,18.7333,-103.6833,73.47,95,72,2.95,broken clouds
229,Abu Dhabi,AE,24.4667,54.3667,73.42,69,0,6.91,clear sky
230,Sobolevo,RU,54.4299,31.8996,21.78,92,99,11.32,overcast clouds
231,Chase,CA,50.8165,-119.6857,55.15,95,100,3.83,overcast clouds
232,Dalby,AU,-27.1833,151.2667,79.5,60,64,5.32,broken clouds
233,Jutai,BR,-5.1833,-68.9,71.65,99,86,2.37,overcast clouds
234,Neiafu,TO,-18.65,-173.9833,81.28,74,40,3.44,scattered clouds
235,Tessalit,ML,20.1986,1.0114,70.21,18,99,9.66,overcast clouds
236,Dongsheng,CN,39.8161,109.9776,29.05,33,6,11.59,clear sky
237,Ancud,CL,-41.8697,-73.8203,51.42,85,99,8.14,overcast clouds
238,Conde,BR,-7.2597,-34.9075,78.26,83,0,4.61,clear sky
239,Birao,CF,10.2849,22.7882,76.93,24,21,7.2,few clouds
240,Taltal,CL,-25.4,-70.4833,60.57,85,19,0.83,few clouds
241,El Alto,PE,-4.2714,-81.2147,65.84,83,67,11.01,broken clouds
242,Ambilobe,MG,-13.2,49.05,87.48,41,6,6.44,clear sky
243,Chumikan,RU,54.7183,135.315,-1.7,94,82,5.28,broken clouds
244,Champerico,GT,14.3,-91.9167,79.36,76,0,3.71,clear sky
245,Port Hedland,AU,-20.3167,118.5667,109.45,15,10,17.27,clear sky
